,음식,남성 순위,여성 순위,남자-여자 순위 차이,abs(남자-여자 순위 차이),선호 성별
0,홍차,0.0,48.0,100.0,100.0,여
1,도우넛,0.0,57.0,100.0,100.0,여
2,"오렌지, 주스",0.0,59.0,100.0,100.0,여
3,페이스트리,0.0,61.0,100.0,100.0,여
4,포도,0.0,63.0,100.0,100.0,여
5,어묵,0.0,66.0,100.0,100.0,여
6,총각김치,0.0,67.0,100.0,100.0,여
7,오징어채볶음,0.0,71.0,100.0,100.0,여
8,쨈,0.0,72.0,100.0,100.0,여
9,청국장찌개,0.0,74.0,100.0,100.0,여
10,현미밥,0.0,75.0,100.0,100.0,여
11,핫소스,0.0,76.0,100.0,100.0,여
12,초밥,0.0,77.0,100.0,100.0,여
13,짬뽕,0.0,78.0,100.0,100.0,여
14,어묵국,0.0,79.0,100.0,100.0,여
15,칼국수,0.0,80.0,100.0,100.0,여
16,떡,0.0,82.0,100.0,100.0,여
17,무말랭이무침,0.0,83.0,100.0,100.0,여
18,케잌,70.0,34.0,36.0,36.0,여
19,사과,57.0,24.0,33.0,33.0,여
20,콩나물,60.0,28.0,32.0,32.0,여
21,요구르트,48.0,17.0,31.0,31.0,여
22,스파게티,69.0,38.0,31.0,31.0,여
23,시리얼,61.0,31.0,30.0,30.0,여
24,고구마,76.0,47.0,29.0,29.0,여
25,만두,45.0,21.0,24.0,24.0,여
26,빵,29.0,9.0,20.0,20.0,여
27,비빔밥,77.0,58.0,19.0,19.0,여
28,떡볶이,31.0,14.0,17.0,17.0,여
29,토마토케챱,46.0,30.0,16.0,16.0,여
30,간장,47.0,32.0,15.0,15.0,여
31,오이지/오이장아찌,58.0,43.0,15.0,15.0,여
32,김구이,27.0,12.0,15.0,15.0,여
33,열무김치,41.0,29.0,12.0,12.0,여
34,소금,56.0,44.0,12.0,12.0,여
35,치즈,74.0,62.0,12.0,12.0,여
36,달걀,54.0,45.0,9.0,9.0,여
37,쇠고기구이,62.0,54.0,8.0,8.0,여
38,귤,34.0,27.0,7.0,7.0,여
39,삼겹살구이,33.0,26.0,7.0,7.0,여
40,우유,14.0,8.0,6.0,6.0,여
41,샌드위치,23.0,18.0,5.0,5.0,여
42,젤리,78.0,73.0,5.0,5.0,여
