,음식,남성 순위,여성 순위,남자-여자 순위 차이,abs(남자-여자 순위 차이),선호 성별
0,케잌,70.0,34.0,36.0,36.0,여
3,사과,57.0,24.0,33.0,33.0,여
4,콩나물,60.0,28.0,32.0,32.0,여
5,요구르트,48.0,17.0,31.0,31.0,여
6,스파게티,69.0,38.0,31.0,31.0,여
7,시리얼,61.0,31.0,30.0,30.0,여
8,고구마,76.0,47.0,29.0,29.0,여
12,만두,45.0,21.0,24.0,24.0,여
15,빵,29.0,9.0,20.0,20.0,여
16,비빔밥,77.0,58.0,19.0,19.0,여
17,떡볶이,31.0,14.0,17.0,17.0,여
19,토마토케챱,46.0,30.0,16.0,16.0,여
22,간장,47.0,32.0,15.0,15.0,여
23,오이지/오이장아찌,58.0,43.0,15.0,15.0,여
24,김구이,27.0,12.0,15.0,15.0,여
27,열무김치,41.0,29.0,12.0,12.0,여
28,소금,56.0,44.0,12.0,12.0,여
29,치즈,74.0,62.0,12.0,12.0,여
33,달걀,54.0,45.0,9.0,9.0,여
35,쇠고기구이,62.0,54.0,8.0,8.0,여
39,귤,34.0,27.0,7.0,7.0,여
40,삼겹살구이,33.0,26.0,7.0,7.0,여
41,우유,14.0,8.0,6.0,6.0,여
43,샌드위치,23.0,18.0,5.0,5.0,여
44,젤리,78.0,73.0,5.0,5.0,여
