,영양소,성별,연령,기준 섭취량,평균,섭취량-기준
0,나트륨,여자,19-29,1500.0,4251.51,2751.51
1,니아신,여자,19-29,14.0,16.43,2.4299999999999997
2,단백질,여자,19-29,55.0,94.33,39.33
3,당,여자,19-29,,64.13,
4,리보플라빈,여자,19-29,1.2,2.17,0.97
5,비타민a,여자,19-29,650.0,427.46,-222.54000000000002
6,비타민c,여자,19-29,100.0,69.87,-30.129999999999995
7,에너지,여자,19-29,2000.0,2419.22,419.2199999999998
8,엽산,여자,19-29,400.0,335.48,-64.51999999999998
9,인,여자,19-29,700.0,1280.12,580.1199999999999
10,지방,여자,19-29,59.0,67.58,8.579999999999998
11,철,여자,19-29,14.0,13.43,-0.5700000000000003
12,칼륨,여자,19-29,3500.0,3174.09,-325.90999999999985
13,칼슘,여자,19-29,700.0,540.24,-159.76
14,탄수화물,여자,19-29,130.0,307.45,177.45
15,티아민,여자,19-29,1.1,1.57,0.47
