,음식,남성 순위,여성 순위,남자-여자 순위 차이,abs(남자-여자 순위 차이),선호 성별
1,마늘,16.0,52.0,-36.0,36.0,남
2,불고기,36.0,70.0,-34.0,34.0,남
9,돼지고기볶음,26.0,53.0,-27.0,27.0,남
10,단무지,12.0,37.0,-25.0,25.0,남
11,양파,32.0,56.0,-24.0,24.0,남
13,멸치볶음,18.0,42.0,-24.0,24.0,남
14,고추,43.0,64.0,-21.0,21.0,남
18,토마토,51.0,68.0,-17.0,17.0,남
20,맥주,17.0,33.0,-16.0,16.0,남
21,햄버거,19.0,35.0,-16.0,16.0,남
25,된장찌개,25.0,39.0,-14.0,14.0,남
26,"소스, 카레",52.0,65.0,-13.0,13.0,남
30,미역국,40.0,51.0,-11.0,11.0,남
31,피자,30.0,40.0,-10.0,10.0,남
32,고추장,37.0,46.0,-9.0,9.0,남
34,상추,11.0,20.0,-9.0,9.0,남
36,수박,73.0,81.0,-8.0,8.0,남
37,고등어구이,42.0,50.0,-8.0,8.0,남
38,소주,28.0,36.0,-8.0,8.0,남
42,쵸컬릿,44.0,49.0,-5.0,5.0,남
