,영양소,성별,연령,기준 섭취량,평균,섭취량-기준
0,나트륨,남자,19-29,1500.0,3823.9,2323.9
1,니아신,남자,19-29,16.0,16.04,0.03999999999999915
2,단백질,남자,19-29,65.0,92.23,27.230000000000004
3,당,남자,19-29,,62.84,
4,리보플라빈,남자,19-29,1.5,2.08,0.5800000000000001
5,비타민a,남자,19-29,800.0,459.24,-340.76
6,비타민c,남자,19-29,100.0,69.93,-30.069999999999993
7,에너지,남자,19-29,2600.0,2298.76,-301.2399999999998
8,엽산,남자,19-29,400.0,290.2,-109.80000000000001
9,인,남자,19-29,700.0,1211.56,511.55999999999995
10,지방,남자,19-29,75.0,68.58,-6.420000000000002
11,철,남자,19-29,10.0,12.18,2.1799999999999997
12,칼륨,남자,19-29,3500.0,2790.23,-709.77
13,칼슘,남자,19-29,800.0,533.43,-266.57000000000005
14,탄수화물,남자,19-29,130.0,298.82,168.82
15,티아민,남자,19-29,1.2,1.5,0.30000000000000004
