,음식,남성 순위,여성 순위,남자-여자 순위 차이,abs(남자-여자 순위 차이),선호 성별
0,소주,11.0,48.0,-37.0,37.0,남
1,와사비,51.0,84.0,-33.0,33.0,남
2,양파장아찌,57.0,85.0,-28.0,28.0,남
3,마늘,16.0,42.0,-26.0,26.0,남
4,시리얼,65.0,41.0,24.0,24.0,여
5,복숭아,59.0,35.0,24.0,24.0,여
6,토마토케챱,45.0,68.0,-23.0,23.0,남
7,빵,32.0,13.0,19.0,19.0,여
8,돼지고기볶음,27.0,46.0,-19.0,19.0,남
9,귤,38.0,20.0,18.0,18.0,여
10,요구르트,41.0,24.0,17.0,17.0,여
11,포도,46.0,29.0,17.0,17.0,여
12,아이스크림,53.0,36.0,17.0,17.0,여
13,볶음밥/오므라이스,34.0,17.0,17.0,17.0,여
14,감자튀김,50.0,66.0,-16.0,16.0,남
15,양파,30.0,44.0,-14.0,14.0,남
16,소금,37.0,50.0,-13.0,13.0,남
17,달걀,49.0,38.0,11.0,11.0,여
18,닭튀김/강정,20.0,31.0,-11.0,11.0,남
19,고추,15.0,26.0,-11.0,11.0,남
20,단무지,22.0,33.0,-11.0,11.0,남
21,콩나물국,44.0,54.0,-10.0,10.0,남
22,시금치나물,42.0,52.0,-10.0,10.0,남
23,열무김치,33.0,23.0,10.0,10.0,여
24,우유,24.0,15.0,9.0,9.0,여
25,멸치볶음,21.0,12.0,9.0,9.0,여
26,오이지/오이장아찌,62.0,53.0,9.0,9.0,여
27,맥주,10.0,18.0,-8.0,8.0,남
28,떡볶이,48.0,40.0,8.0,8.0,여
29,사과,19.0,11.0,8.0,8.0,여
30,삼겹살구이,25.0,32.0,-7.0,7.0,남
31,콩나물,23.0,16.0,7.0,7.0,여
32,불고기,56.0,63.0,-7.0,7.0,남
33,달걀부침/후라이,13.0,6.0,7.0,7.0,여
34,라면,7.0,14.0,-7.0,7.0,남
35,김밥,31.0,25.0,6.0,6.0,여
36,김치찌개,17.0,22.0,-5.0,5.0,남
37,깍두기,14.0,19.0,-5.0,5.0,남
38,쇠고기구이,64.0,59.0,5.0,5.0,여
